ordinal,row_id,mask_hex,k,pieces,tile_stabilizer_size,raw_covers,cover_orbits,multiplier_orbits,tile_chirality,oriented_tile_classes
1,P18-NC-K06-M00006F,00006F,6,4,1,6,1,1,CHIRAL,2
2,P18-NC-K06-M000077,000077,6,4,1,6,1,1,CHIRAL,2
3,P18-NC-K06-M00007D,00007D,6,4,1,12,2,2,CHIRAL,2
4,P18-NC-K06-M0000CF,0000CF,6,4,1,6,1,1,CHIRAL,2
5,P18-NC-K06-M000157,000157,6,4,1,6,1,1,CHIRAL,2
6,P18-NC-K06-M00016D,00016D,6,4,1,18,3,3,CHIRAL,2
7,P18-NC-K06-M0001CD,0001CD,6,4,1,6,1,1,CHIRAL,2
8,P18-NC-K06-M00034D,00034D,6,4,2,3,1,4,ACHIRAL,1
9,P18-NC-K06-M001097,001097,6,4,1,6,1,1,CHIRAL,2
10,P18-NC-K06-M0010C7,0010C7,6,4,1,6,1,1,CHIRAL,2
11,P18-NC-K06-M00114D,00114D,6,4,1,6,1,1,CHIRAL,2
12,P18-NC-K06-M0011C5,0011C5,6,4,1,6,1,1,CHIRAL,2
13,P18-NC-K06-M001345,001345,6,4,1,12,2,2,CHIRAL,2
14,P18-NC-K06-M0020BA,0020BA,6,4,2,3,1,4,ACHIRAL,1
15,P18-NC-K08-M00017F,00017F,8,3,1,8,1,1,CHIRAL,2
16,P18-NC-K08-M0010EF,0010EF,8,3,1,8,1,1,CHIRAL,2
17,P18-NC-K08-M00116F,00116F,8,3,1,8,1,1,CHIRAL,2
18,P18-NC-K08-M0014AF,0014AF,8,3,1,8,1,1,CHIRAL,2
19,P18-NC-K08-M001F45,001F45,8,3,1,8,1,1,CHIRAL,2
20,P18-NC-K08-M0020DF,0020DF,8,3,1,8,1,1,CHIRAL,2
21,P18-NC-K08-M00215F,00215F,8,3,1,8,1,1,CHIRAL,2
22,P18-NC-K08-M00249F,00249F,8,3,1,8,1,1,CHIRAL,2
23,P18-NC-K08-M0030CF,0030CF,8,3,2,8,1,4,ACHIRAL,1
24,P18-NC-K08-M00314F,00314F,8,3,1,8,1,1,CHIRAL,2
25,P18-NC-K08-M003157,003157,8,3,1,8,1,1,CHIRAL,2
26,P18-NC-K08-M0031C7,0031C7,8,3,1,8,1,1,CHIRAL,2
27,P18-NC-K08-M00348F,00348F,8,3,1,8,1,1,CHIRAL,2
28,P18-NC-K08-M0034CD,0034CD,8,3,1,8,1,1,CHIRAL,2
29,P18-NC-K08-M0035C5,0035C5,8,3,1,8,1,1,CHIRAL,2
30,P18-NC-K08-M005157,005157,8,3,1,8,1,1,CHIRAL,2
31,P18-NC-K08-M005353,005353,8,3,1,8,1,1,CHIRAL,2
32,P18-NC-K08-M007B28,007B28,8,3,1,8,1,1,CHIRAL,2
33,P18-NC-K12-M000FFF,000FFF,12,2,4,3,1,3,ACHIRAL,1
34,P18-NC-K12-M0017FF,0017FF,12,2,1,12,1,1,CHIRAL,2
35,P18-NC-K12-M001FF7,001FF7,12,2,1,12,1,1,CHIRAL,2
36,P18-NC-K12-M002BFF,002BFF,12,2,1,12,1,1,CHIRAL,2
37,P18-NC-K12-M002FFB,002FFB,12,2,1,12,1,1,CHIRAL,2
38,P18-NC-K12-M0033FF,0033FF,12,2,1,12,1,1,CHIRAL,2
39,P18-NC-K12-M0055FF,0055FF,12,2,1,12,1,1,CHIRAL,2
40,P18-NC-K12-M007FD3,007FD3,12,2,1,12,1,1,CHIRAL,2
41,P18-NC-K12-M012B7F,012B7F,12,2,1,12,1,1,CHIRAL,2
42,P18-NC-K12-M012FFA,012FFA,12,2,1,12,1,1,CHIRAL,2
43,P18-NC-K12-M0417DF,0417DF,12,2,1,12,1,1,CHIRAL,2
44,P18-NC-K12-M042BDF,042BDF,12,2,1,12,1,1,CHIRAL,2
45,P18-NC-K12-M042DFB,042DFB,12,2,1,12,1,1,CHIRAL,2
46,P18-NC-K12-M0433DF,0433DF,12,2,1,12,1,1,CHIRAL,2
47,P18-NC-K12-M0447F7,0447F7,12,2,2,6,1,1,CHIRAL,2
48,P18-NC-K12-M044DDF,044DDF,12,2,2,6,1,2,CHIRAL,2
49,P18-NC-K12-M0455DF,0455DF,12,2,1,12,1,1,CHIRAL,2
50,P18-NC-K12-M045DD7,045DD7,12,2,1,12,1,1,CHIRAL,2
51,P18-NC-K12-M0471DF,0471DF,12,2,1,12,1,1,CHIRAL,2
52,P18-NC-K12-M047DD3,047DD3,12,2,1,12,1,1,CHIRAL,2
53,P18-NC-K12-M048EDF,048EDF,12,2,1,12,1,1,CHIRAL,2
54,P18-NC-K12-M04D4DF,04D4DF,12,2,1,12,1,1,CHIRAL,2
55,P18-NC-K12-M04F0DF,04F0DF,12,2,1,12,1,1,CHIRAL,2
56,P18-NC-K12-M052B5F,052B5F,12,2,1,12,1,1,CHIRAL,2
57,P18-NC-K12-M052DFA,052DFA,12,2,1,12,1,1,CHIRAL,2
58,P18-NC-K12-M05335F,05335F,12,2,1,12,1,1,CHIRAL,2
59,P18-NC-K12-M05715F,05715F,12,2,1,12,1,1,CHIRAL,2
60,P18-NC-K12-M057DD2,057DD2,12,2,1,12,1,1,CHIRAL,2
61,P18-NC-K12-M068E9F,068E9F,12,2,1,12,1,1,CHIRAL,2
62,P18-NC-K12-M06D49F,06D49F,12,2,1,12,1,1,CHIRAL,2
63,P18-NC-K12-M06F09F,06F09F,12,2,1,12,1,1,CHIRAL,2
64,P18-NC-K12-M06F23E,06F23E,12,2,2,6,1,1,CHIRAL,2
65,P18-NC-K12-M07AA1F,07AA1F,12,2,1,12,1,1,CHIRAL,2
66,P18-NC-K12-M07B21F,07B21F,12,2,2,6,1,2,CHIRAL,2
67,P18-NC-K12-M07B4BA,07B4BA,12,2,1,12,1,1,CHIRAL,2
68,P18-NC-K12-M07BA17,07BA17,12,2,1,12,1,1,CHIRAL,2
69,P18-NC-K12-M07BE92,07BE92,12,2,1,12,1,1,CHIRAL,2
70,P18-NC-K12-M0C5CD7,0C5CD7,12,2,1,12,1,1,CHIRAL,2
71,P18-NC-K12-M0CC3F3,0CC3F3,12,2,2,6,1,1,CHIRAL,2
72,P18-NC-K12-M0D2CFA,0D2CFA,12,2,1,12,1,1,CHIRAL,2
73,P18-NC-K12-M1455D7,1455D7,12,2,4,3,1,3,ACHIRAL,1
74,P18-NC-K12-M1471D7,1471D7,12,2,1,12,1,1,CHIRAL,2
75,P18-NC-K12-M1475D3,1475D3,12,2,1,12,1,1,CHIRAL,2
76,P18-NC-K12-M1525FA,1525FA,12,2,1,12,1,1,CHIRAL,2
77,P18-NC-K12-M153357,153357,12,2,1,12,1,1,CHIRAL,2
78,P18-NC-K12-M1575D2,1575D2,12,2,1,12,1,1,CHIRAL,2
79,P18-NC-K12-M1725F8,1725F8,12,2,1,12,1,1,CHIRAL,2
80,P18-NC-K12-M17A4F8,17A4F8,12,2,1,12,1,1,CHIRAL,2
81,P18-NC-K12-M1CD1D3,1CD1D3,12,2,2,6,1,1,CHIRAL,2
82,P18-NC-K12-M1CD4C7,1CD4C7,12,2,2,6,1,2,CHIRAL,2
